nurse_node,shift_node,gat_score
0,40,0.9974482
0,41,0.9974482
0,42,0.9974482
0,43,0.9974482
0,44,0.9974482
0,45,0.9974482
0,46,0.9974482
0,47,0.9974482
0,48,0.9974482
0,49,0.9974482
0,50,0.9974482
0,51,0.9974482
0,52,0.9974482
0,53,0.9974482
0,54,0.9974482
0,55,0.9974482
0,56,0.9974482
0,57,0.9974482
0,58,0.9974482
0,59,0.9974482
0,60,0.9974482
0,61,0.9974482
0,62,0.9974482
0,63,0.9974482
0,64,0.9974482
0,65,0.9974482
0,66,0.9974482
0,67,0.9974482
0,68,0.9974482
0,69,0.9974482
0,70,0.9974482
0,71,0.9974482
0,72,0.9974482
0,73,0.9974482
0,74,0.9974482
0,75,0.9974482
0,76,0.9974482
0,77,0.9974482
0,78,0.9974482
0,79,0.9974482
0,80,0.9974482
0,81,0.9974482
0,82,0.9974482
0,83,0.9974482
0,84,0.9974482
0,85,0.9974482
0,86,0.9974482
0,87,0.9974482
0,88,0.9974482
0,89,0.9974482
0,90,0.9974482
0,91,0.9974482
0,92,0.9974482
0,93,0.9974482
0,94,0.9974482
0,95,0.9974482
0,96,0.9974482
0,97,0.9974482
0,98,0.9974482
0,99,0.9974482
0,100,0.9974482
0,101,0.9974482
0,102,0.9974482
0,103,0.9974482
0,104,0.9974482
0,105,0.9974482
0,106,0.9974482
0,107,0.9974482
0,108,0.9974482
0,109,0.9974482
0,110,0.9974482
0,111,0.9974482
0,112,0.9974482
0,113,0.9974482
0,114,0.9974482
0,115,0.9974482
0,116,0.9974482
0,117,0.9974482
0,118,0.9974482
0,119,0.9974482
0,120,0.9974482
0,121,0.9974482
0,122,0.9974482
0,123,0.9974482
0,124,0.9974482
0,125,0.9974482
0,126,0.9974482
0,127,0.9974482
0,128,0.9974482
0,129,0.9974482
0,130,0.9974482
0,131,0.9974482
0,132,0.9974482
0,133,0.9974482
0,134,0.9974482
0,135,0.9974482
0,136,0.9974482
0,137,0.9974482
0,138,0.9974482
0,139,0.9974482
0,140,0.9974482
0,141,0.9974482
0,142,0.9974482
0,143,0.9974482
0,144,0.9974482
0,145,0.9974482
0,146,0.9974482
0,147,0.9974482
0,148,0.9974482
0,149,0.9974482
0,150,0.9974482
0,151,0.9974482
0,152,0.9974482
0,153,0.9974482
0,154,0.9974482
0,155,0.9974482
0,156,0.9974482
0,157,0.9974482
0,158,0.9974482
0,159,0.9974482
0,160,0.9974482
0,161,0.9974482
0,162,0.9974482
0,163,0.9974482
0,164,0.9974482
0,165,0.9974482
0,166,0.9974482
0,167,0.9974482
0,168,0.9974482
0,169,0.9974482
0,170,0.9974482
0,171,0.9974482
0,172,0.9974482
0,173,0.9974482
0,174,0.9974482
0,175,0.9974482
0,176,0.9974482
